query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
242,300m,72,256,1,5,2.221120672941208,"[61204959, 761823, 299371034, 5598323, 89250462]"
243,300m,72,256,1,5,2.221120672941208,"[277112741, 197684119, 93936348, 93936342, 243063315]"
244,300m,72,256,1,5,2.221120672941208,"[222662854, 142206264, 35624740, 240936219, 175706998]"
245,300m,72,256,1,5,2.221120672941208,"[256759132, 99533321, 256964906, 92583006, 184019389]"
246,300m,72,256,1,5,2.221120672941208,"[1251765, 267429588, 224696016, 93685992, 78472671]"
247,300m,72,256,1,5,2.221120672941208,"[263920439, 60052471, 110667555, 106514885, 60052463]"
248,300m,72,256,1,5,2.221120672941208,"[136047029, 116519538, 32834108, 271450105, 227163582]"
249,300m,72,256,1,5,2.221120672941208,"[14830073, 187344339, 81588480, 171432387, 106007664]"
250,300m,72,256,1,5,2.221120672941208,"[69230666, 144197282, 287498137, 54105543, 66945193]"
251,300m,72,256,1,5,2.221120672941208,"[296953335, 182597693, 16753632, 107550758, 181223926]"
252,300m,72,256,1,5,2.221120672941208,"[142114823, 158353305, 147560058, 123943242, 70652650]"
253,300m,72,256,1,5,2.221120672941208,"[262104474, 119623098, 187265929, 264070712, 197466165]"
254,300m,72,256,1,5,2.221120672941208,"[118146128, 48794137, 151510097, 62343332, 266668750]"
255,300m,72,256,1,5,2.221120672941208,"[292534411, 30202463, 131355395, 298166651, 131350912]"
256,300m,72,256,1,5,2.221120672941208,"[252591723, 234806344, 244780871, 258167317, 125246433]"
257,300m,72,256,1,5,2.221120672941208,"[120493665, 134269616, 152912651, 188758845, 182449774]"
258,300m,72,256,1,5,2.221120672941208,"[88701253, 69535511, 123830971, 134522396, 18282864]"
259,300m,72,256,1,5,2.221120672941208,"[154732199, 154732197, 288178730, 239702580, 144061373]"
260,300m,72,256,1,5,2.221120672941208,"[100286525, 155553042, 10122994, 135317774, 176003473]"
261,300m,72,256,1,5,2.221120672941208,"[4524895, 74550604, 74550609, 88456256, 295186495]"
262,300m,72,256,1,5,2.221120672941208,"[95720623, 53701756, 175107495, 71433789, 292767160]"
263,300m,72,256,1,5,2.221120672941208,"[222915391, 278161760, 257069672, 278093455, 123740052]"
264,300m,72,256,1,5,2.221120672941208,"[233407006, 291933944, 185204568, 269699980, 165684051]"
265,300m,72,256,1,5,2.221120672941208,"[117516005, 35046230, 188649775, 212736207, 275559387]"
266,300m,72,256,1,5,2.221120672941208,"[49049533, 137424482, 295999056, 191456297, 191240586]"
267,300m,72,256,1,5,2.221120672941208,"[78764858, 156049288, 111762927, 141530784, 262088274]"
268,300m,72,256,1,5,2.221120672941208,"[74747535, 93361313, 171012032, 242572753, 273894787]"
269,300m,72,256,1,5,2.221120672941208,"[39792019, 212352928, 209676733, 39751463, 164593737]"
270,300m,72,256,1,5,2.221120672941208,"[250722537, 71652752, 119499054, 291357335, 61032687]"
271,300m,72,256,1,5,2.221120672941208,"[91195341, 138546516, 81687041, 77469376, 191875909]"
272,300m,72,256,1,5,2.221120672941208,"[96228366, 7131706, 142619170, 66709713, 275720178]"
273,300m,72,256,1,5,2.221120672941208,"[64111972, 38554838, 56080863, 192523111, 63758061]"
274,300m,72,256,1,5,2.221120672941208,"[26248581, 278457651, 31417085, 274727017, 177940458]"
275,300m,72,256,1,5,2.221120672941208,"[9783334, 284531044, 247032399, 62715298, 58505949]"
276,300m,72,256,1,5,2.221120672941208,"[63366943, 207872475, 233499756, 93308388, 88396717]"
277,300m,72,256,1,5,2.221120672941208,"[31946965, 32028002, 31946964, 32028005, 3732107]"
278,300m,72,256,1,5,2.221120672941208,"[20351559, 169445376, 136177389, 155985661, 190823755]"
279,300m,72,256,1,5,2.221120672941208,"[169248418, 229299783, 162829623, 229299782, 139412342]"
