query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
7040,300m,72,256,32,5,2.938233925819397
7072,300m,72,256,32,5,2.938233925819397
7104,300m,72,256,32,5,2.938233925819397
7136,300m,72,256,32,5,2.938233925819397
7168,300m,72,256,32,5,2.938233925819397
7200,300m,72,256,32,5,2.938233925819397
7232,300m,72,256,32,5,2.938233925819397
7264,300m,72,256,32,5,2.938233925819397
7296,300m,72,256,32,5,2.938233925819397
7328,300m,72,256,32,5,2.938233925819397
7360,300m,72,256,32,5,2.938233925819397
7392,300m,72,256,32,5,2.938233925819397
7424,300m,72,256,32,5,2.938233925819397
7456,300m,72,256,32,5,2.938233925819397
7488,300m,72,256,32,5,2.938233925819397
7520,300m,72,256,32,5,2.938233925819397
7552,300m,72,256,32,5,2.938233925819397
7584,300m,72,256,32,5,2.938233925819397
7616,300m,72,256,32,5,2.938233925819397
7648,300m,72,256,32,5,2.938233925819397
7680,300m,72,256,32,5,2.938233925819397
7712,300m,72,256,32,5,2.938233925819397
7744,300m,72,256,32,5,2.938233925819397
7776,300m,72,256,32,5,2.938233925819397
7808,300m,72,256,32,5,2.938233925819397
7840,300m,72,256,32,5,2.938233925819397
7872,300m,72,256,32,5,2.938233925819397
7904,300m,72,256,32,5,2.938233925819397
7936,300m,72,256,32,5,2.938233925819397
7968,300m,72,256,32,5,2.938233925819397
8000,300m,72,256,32,5,2.938233925819397
8032,300m,72,256,32,5,2.938233925819397
8064,300m,72,256,32,5,2.938233925819397
8096,300m,72,256,32,5,2.938233925819397
8128,300m,72,256,32,5,2.938233925819397
8160,300m,72,256,32,5,2.938233925819397
8192,300m,72,256,32,5,2.938233925819397
8224,300m,72,256,32,5,2.938233925819397
8256,300m,72,256,32,5,2.938233925819397
8288,300m,72,256,32,5,2.938233925819397
8320,300m,72,256,32,5,2.938233925819397
8352,300m,72,256,32,5,2.938233925819397
8384,300m,72,256,32,5,2.938233925819397
8416,300m,72,256,32,5,2.938233925819397
8448,300m,72,256,32,5,2.938233925819397
8480,300m,72,256,32,5,2.938233925819397
8512,300m,72,256,32,5,2.938233925819397
8544,300m,72,256,32,5,2.938233925819397
8576,300m,72,256,32,5,2.938233925819397
8608,300m,72,256,32,5,2.938233925819397
8640,300m,72,256,32,5,2.938233925819397
8672,300m,72,256,32,5,2.938233925819397
8704,300m,72,256,32,5,2.938233925819397
8736,300m,72,256,32,5,2.938233925819397
8768,300m,72,256,32,5,2.938233925819397
8800,300m,72,256,32,5,2.938233925819397
8832,300m,72,256,32,5,2.938233925819397
8864,300m,72,256,32,5,2.938233925819397
8896,300m,72,256,32,5,2.938233925819397
8928,300m,72,256,32,5,2.938233925819397
8960,300m,72,256,32,5,2.938233925819397
8992,300m,72,256,32,5,2.938233925819397
9024,300m,72,256,32,5,2.938233925819397
9056,300m,72,256,32,5,2.938233925819397
9088,300m,72,256,32,5,2.938233925819397
9120,300m,72,256,32,5,2.938233925819397
9152,300m,72,256,32,5,2.938233925819397
9184,300m,72,256,32,5,2.938233925819397
9216,300m,72,256,32,5,2.938233925819397
9248,300m,72,256,32,5,2.938233925819397
9280,300m,72,256,32,5,2.938233925819397
9312,300m,72,256,32,5,2.938233925819397
9344,300m,72,256,32,5,2.938233925819397
9376,300m,72,256,32,5,2.938233925819397
9408,300m,72,256,32,5,2.938233925819397
9440,300m,72,256,32,5,2.938233925819397
9472,300m,72,256,32,5,2.938233925819397
9504,300m,72,256,32,5,2.938233925819397
9536,300m,72,256,32,5,2.938233925819397
9568,300m,72,256,32,5,2.938233925819397
9600,300m,72,256,32,5,2.938233925819397
9632,300m,72,256,32,5,2.938233925819397
9664,300m,72,256,32,5,2.938233925819397
9696,300m,72,256,32,5,2.938233925819397
9728,300m,72,256,32,5,2.938233925819397
9760,300m,72,256,32,5,2.938233925819397
9792,300m,72,256,32,5,2.938233925819397
9824,300m,72,256,32,5,2.938233925819397
9856,300m,72,256,32,5,2.938233925819397
9888,300m,72,256,32,5,2.938233925819397
9920,300m,72,256,32,5,2.938233925819397
9952,300m,72,256,32,5,2.938233925819397
9984,300m,72,256,32,5,2.938233925819397
10016,300m,72,256,32,5,2.938233925819397
10048,300m,72,256,32,5,2.938233925819397
10080,300m,72,256,32,5,2.938233925819397
10112,300m,72,256,32,5,2.938233925819397
10144,300m,72,256,32,5,2.938233925819397
10176,300m,72,256,32,5,2.938233925819397
10208,300m,72,256,32,5,2.938233925819397
10240,300m,72,256,32,5,2.938233925819397
10272,300m,72,256,32,5,2.938233925819397
10304,300m,72,256,32,5,2.938233925819397
10336,300m,72,256,32,5,2.938233925819397
10368,300m,72,256,32,5,2.938233925819397
10400,300m,72,256,32,5,2.938233925819397
10432,300m,72,256,32,5,2.938233925819397
10464,300m,72,256,32,5,2.938233925819397
10496,300m,72,256,32,5,2.938233925819397
10528,300m,72,256,32,5,2.938233925819397
10560,300m,72,256,32,5,2.938233925819397
10592,300m,72,256,32,5,2.938233925819397
10624,300m,72,256,32,5,2.938233925819397
10656,300m,72,256,32,5,2.938233925819397
10688,300m,72,256,32,5,2.938233925819397
10720,300m,72,256,32,5,2.938233925819397
10752,300m,72,256,32,5,2.938233925819397
10784,300m,72,256,32,5,2.938233925819397
10816,300m,72,256,32,5,2.938233925819397
10848,300m,72,256,32,5,2.938233925819397
10880,300m,72,256,32,5,2.938233925819397
10912,300m,72,256,32,5,2.938233925819397
10944,300m,72,256,32,5,2.938233925819397
10976,300m,72,256,32,5,2.938233925819397
11008,300m,72,256,32,5,2.938233925819397
11040,300m,72,256,32,5,2.938233925819397
11072,300m,72,256,32,5,2.938233925819397
11104,300m,72,256,32,5,2.938233925819397
11136,300m,72,256,32,5,2.938233925819397
11168,300m,72,256,32,5,2.938233925819397
11200,300m,72,256,32,5,2.938233925819397
11232,300m,72,256,32,5,2.938233925819397
11264,300m,72,256,32,5,2.938233925819397
11296,300m,72,256,32,5,2.938233925819397
11328,300m,72,256,32,5,2.938233925819397
