query,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
68,"[19, 38, 92, 131, 172, 175]",6,0.12414347473531961,0.034840349573642015,0.2059031006259223,"[265582474, 143670194, 561844575, 248190137, 97780755, 153603521, 440305694, 145913315, 491097585, 423316495]","[38, 38, 38, 38, 38, 38, 38, 92, 172, 38]"
69,"[36, 54, 156, 188]",4,0.05528473109006882,0.03710983181372285,0.2818081199657172,"[547526819, 299503718, 494503005, 223881798, 40933157, 501034303, 32863356, 276175577, 452879361, 94993425]","[54, 54, 54, 54, 54, 54, 54, 54, 54, 54]"
70,"[8, 32, 47, 57, 159, 174, 175, 216, 237, 240, 241]",11,0.3803883474320173,0.06467065867036581,0.21743794373998587,"[552822517, 14700988, 243132285, 162408577, 481086447, 279383232, 472693134, 22166047, 228774034, 449576300]","[174, 237, 237, 237, 47, 237, 174, 237, 174, 47]"
71,"[1, 39, 49, 77, 81, 82, 84, 88, 100, 146, 159, 174, 175, 241]",14,0.298537511844188,0.15039514331147075,0.20988894085998513,"[573260542, 333682070, 136021710, 546025776, 432821244, 271834051, 493843594, 477922653, 478024384, 44392480]","[175, 174, 175, 175, 81, 175, 241, 174, 175, 77]"
72,"[20, 43, 54, 58, 96, 188, 201]",7,0.12418225733563304,0.04658904392272234,0.23295725739028836,"[446588711, 461876235, 444772633, 324629215, 363624009, 376470060, 257401844, 529203276, 132831639, 205822731]","[54, 54, 54, 54, 188, 54, 54, 54, 54, 188]"
73,"[4, 79, 106, 118, 148, 152, 166, 174, 237, 239, 241]",11,0.24752627173438668,0.13063694583252072,0.22281120865690437,"[540778935, 241972422, 419519921, 319120328, 569812062, 319494432, 133699417, 225385585, 207428026, 373696886]","[237, 152, 152, 237, 152, 152, 237, 237, 237, 237]"
74,"[39, 60, 109, 112, 128, 163, 233, 239, 240, 241]",10,0.1459282780997455,0.06687310291454196,0.2773717808071524,"[517378138, 265396003, 210976861, 43947376, 341032742, 517211417, 344750993, 72428980, 410446824, 183709613]","[240, 60, 60, 240, 240, 240, 60, 240, 240, 60]"
75,"[38, 57, 59, 92, 180, 182, 222, 236, 242]",9,0.1848290590569377,0.05993617605417967,0.2516097784197579,"[549589445, 155620539, 597410261, 263452461, 271612684, 17100209, 468348092, 31811495, 367349867, 567665902]","[57, 92, 92, 222, 222, 92, 92, 92, 92, 92]"
76,"[39, 60, 112, 228, 240]",5,0.06979845883324742,0.03604909311980009,0.30933578419499097,"[329213839, 47074484, 409696869, 575044943, 574911367, 251901307, 421951907, 421905981, 331859210, 452727150]","[240, 240, 60, 240, 240, 60, 60, 240, 240, 240]"
77,"[10, 49, 81, 82, 100, 148, 164, 169, 196, 239, 242]",11,0.14468695828691125,0.08196859480813146,0.2888885411772538,"[29392618, 100806695, 555371788, 492991573, 499569667, 288761517, 22580755, 59728990, 110999700, 29149633]","[81, 49, 49, 82, 49, 49, 82, 82, 49, 49]"
78,"[14, 25, 33, 64, 70, 107, 133, 166, 184, 192, 216, 237, 241]",13,0.3752651843242347,0.08411397691816092,0.2543825644534081,"[254976624, 171772927, 368786729, 190868400, 258703635, 491655597, 268183460, 400632256, 272302614, 102844778]","[237, 237, 184, 133, 70, 70, 184, 184, 184, 184]"
79,"[17, 20, 54, 70, 85, 125, 188, 194]",8,0.2195784649811685,0.05621759919449687,0.31347205318161286,"[547035905, 356719285, 574548553, 156198037, 431362334, 190418808, 145502417, 47936931, 237419536, 59739192]","[188, 188, 125, 188, 125, 188, 125, 125, 188, 20]"
80,"[10, 67, 89, 106, 128, 132, 188, 201, 213, 215, 242]",11,0.17081942921504378,0.08179950341582298,0.27528901520947163,"[181721375, 35502141, 89952573, 383361456, 307159838, 192160680, 312845800, 195811642, 58729868, 415792015]","[67, 215, 215, 106, 215, 215, 215, 215, 215, 215]"
81,"[10, 36, 43, 52, 54, 58, 132, 159, 169, 201]",10,0.15677085192874074,0.1431049988605082,0.23349661729298532,"[84848979, 55342692, 216612568, 20668750, 582333068, 418881242, 567432210, 271669109, 121812233, 154531861]","[54, 54, 54, 54, 201, 54, 54, 54, 54, 10]"
